event_id,amount,event_type,bank,error_code,product_id,payment_method,intervention,recovery_probability,expected_recovery
E01367,24847.35,SUBSCRIPTION_FAILED,Bank_A,E42,P017,CARD,ALTERNATE_PAYMENT,0.8996436,22353.75940413773
E01905,24940.62,SUBSCRIPTION_FAILED,Bank_A,E42,P018,WALLET,ALTERNATE_PAYMENT,0.8803464,21956.385465409756
E00535,24847.38,SUBSCRIPTION_FAILED,Bank_A,E42,P003,CARD,ALTERNATE_PAYMENT,0.8829736,21939.580851305724
E01897,24445.27,SUBSCRIPTION_FAILED,Bank_A,E42,P014,UPI,ALTERNATE_PAYMENT,0.888539,21720.57615768731
E02425,23918.71,SUBSCRIPTION_FAILED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.9062776,21676.991020956633
E03726,23885.84,SUBSCRIPTION_FAILED,Bank_A,E42,P007,UPI,ALTERNATE_PAYMENT,0.9047228,21610.064279031754
E03576,24491.45,SUBSCRIPTION_FAILED,Bank_A,E42,P012,NETBANKING,ALTERNATE_PAYMENT,0.88233167,21609.581962826847
E02110,24067.86,SUBSCRIPTION_FAILED,Bank_A,E42,P004,UPI,ALTERNATE_PAYMENT,0.89555776,21554.158818290234
E02381,24113.11,SUBSCRIPTION_FAILED,Bank_A,E42,P016,CARD,ALTERNATE_PAYMENT,0.8938493,21553.486814041735
E04671,24241.74,SUBSCRIPTION_FAILED,Bank_A,E42,P014,WALLET,ALTERNATE_PAYMENT,0.88546413,21465.191263200046
E00690,23975.44,SUBSCRIPTION_FAILED,Bank_A,E42,P002,CARD,ALTERNATE_PAYMENT,0.89296246,21409.167780075073
E00907,23943.25,SUBSCRIPTION_FAILED,Bank_A,E42,P011,NETBANKING,ALTERNATE_PAYMENT,0.8937972,21400.41025902331
E01175,23851.65,SUBSCRIPTION_FAILED,Bank_A,E42,P002,NETBANKING,ALTERNATE_PAYMENT,0.89672965,21388.48171142042
E04287,23937.03,SUBSCRIPTION_FAILED,Bank_A,E42,P008,WALLET,ALTERNATE_PAYMENT,0.88566875,21200.279548387527
E02291,23253.37,SUBSCRIPTION_FAILED,Bank_A,E42,P007,CARD,ALTERNATE_PAYMENT,0.91146153,21194.55224705875
E03994,24398.19,SUBSCRIPTION_FAILED,Bank_A,E42,P002,UPI,ALTERNATE_PAYMENT,0.86643654,21139.48335222423
E00630,23253.32,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.90163565,20966.022218914033
E00709,23418.46,SUBSCRIPTION_FAILED,Bank_A,E42,P005,CARD,ALTERNATE_PAYMENT,0.8951433,20962.876874299047
E01212,23435.37,SUBSCRIPTION_FAILED,Bank_A,E42,P002,CARD,ALTERNATE_PAYMENT,0.8938722,20948.225773524642
E04396,23460.11,SUBSCRIPTION_FAILED,Bank_A,E42,P007,NETBANKING,ALTERNATE_PAYMENT,0.89153224,20915.444472860694
E02766,23462.26,SUBSCRIPTION_FAILED,Bank_A,E42,P013,NETBANKING,ALTERNATE_PAYMENT,0.88747895,20822.26181404352
E01412,23155.86,SUBSCRIPTION_FAILED,Bank_A,E42,P003,CARD,ALTERNATE_PAYMENT,0.8991846,20821.392355563643
E03983,24112.72,SUBSCRIPTION_FAILED,Bank_A,E42,P012,UPI,ALTERNATE_PAYMENT,0.86346847,20820.57340227604
E04738,23701.87,SUBSCRIPTION_FAILED,Bank_A,E42,P016,WALLET,ALTERNATE_PAYMENT,0.8715483,20657.324387310742
E04239,23991.75,SUBSCRIPTION_FAILED,Bank_A,E42,P012,WALLET,ALTERNATE_PAYMENT,0.85933477,20616.944892928004
E01939,22999.0,SUBSCRIPTION_FAILED,Bank_A,E42,P014,UPI,ALTERNATE_PAYMENT,0.8926503,20530.064392864704
E01241,22992.49,SUBSCRIPTION_FAILED,Bank_A,E42,P005,CARD,ALTERNATE_PAYMENT,0.8915096,20498.025391221643
E00320,24564.07,CHECKOUT_ABANDONED,Bank_A,E42,P020,UPI,ALTERNATE_PAYMENT,0.83007354,20389.984429753422
E02599,22506.5,SUBSCRIPTION_FAILED,Bank_A,E42,P001,UPI,ALTERNATE_PAYMENT,0.9013481,20286.191328048706
E01718,22645.4,SUBSCRIPTION_FAILED,Bank_A,E42,P008,UPI,ALTERNATE_PAYMENT,0.8939673,20244.2464353323
E02115,22515.69,SUBSCRIPTION_FAILED,Bank_A,E42,P004,UPI,ALTERNATE_PAYMENT,0.89672506,20190.383433669806
E04329,22388.53,SUBSCRIPTION_FAILED,Bank_A,E42,P019,CARD,ALTERNATE_PAYMENT,0.8971344,20085.52094909787
E04937,22399.52,SUBSCRIPTION_FAILED,Bank_A,E42,P018,NETBANKING,ALTERNATE_PAYMENT,0.8962699,20076.015942173006
E00695,23703.89,SUBSCRIPTION_FAILED,Bank_A,E42,P020,WALLET,ALTERNATE_PAYMENT,0.84129804,19942.036285740734
E02076,21909.67,SUBSCRIPTION_FAILED,Bank_A,E42,P009,UPI,ALTERNATE_PAYMENT,0.9047474,19822.717548180222
E03440,24191.35,SUBSCRIPTION_FAILED,Bank_D,E42,P001,CARD,ALTERNATE_PAYMENT,0.8186414,19804.041216814516
E01857,22053.51,SUBSCRIPTION_FAILED,Bank_A,E42,P004,CARD,ALTERNATE_PAYMENT,0.8976699,19796.772367419002
E02163,21916.52,SUBSCRIPTION_FAILED,Bank_A,E42,P004,UPI,ALTERNATE_PAYMENT,0.89647174,19647.540793180466
E03436,21988.22,SUBSCRIPTION_FAILED,Bank_A,E42,P019,NETBANKING,ALTERNATE_PAYMENT,0.88719934,19507.934321266413
E03794,24150.84,PAYMENT_FAILED,Bank_A,E42,P013,NETBANKING,ALTERNATE_PAYMENT,0.8068965,19487.228454988002
E04996,23857.99,SUBSCRIPTION_FAILED,Bank_C,E42,P007,WALLET,ALTERNATE_PAYMENT,0.8139411,19418.9991278255
E00692,24570.87,SUBSCRIPTION_FAILED,Bank_D,E42,P007,NETBANKING,ALTERNATE_PAYMENT,0.7877734,19356.277081983088
E00915,24108.52,SUBSCRIPTION_FAILED,Bank_C,E42,P007,CARD,ALTERNATE_PAYMENT,0.8022615,19341.336736874582
E00866,24876.71,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,ALTERNATE_PAYMENT,0.776114,19307.162580771444
E02546,24789.95,SUBSCRIPTION_FAILED,Bank_C,E42,P018,CARD,ALTERNATE_PAYMENT,0.7788097,19306.654172959923
E03743,24817.51,SUBSCRIPTION_FAILED,Bank_D,E42,P015,WALLET,ALTERNATE_PAYMENT,0.77751577,19296.005372434855
E02705,22131.52,SUBSCRIPTION_FAILED,Bank_A,E42,P013,UPI,ALTERNATE_PAYMENT,0.87136006,19284.522673721312
E00137,24670.42,SUBSCRIPTION_FAILED,Bank_D,E42,P019,NETBANKING,ALTERNATE_PAYMENT,0.77843595,19204.341718850133
E03231,21894.32,SUBSCRIPTION_FAILED,Bank_A,E42,P005,WALLET,ALTERNATE_PAYMENT,0.87594885,19178.304345402717
E04338,24755.56,SUBSCRIPTION_FAILED,Bank_D,E42,P004,UPI,ALTERNATE_PAYMENT,0.7716146,19101.751803171635
E02714,24161.52,CHECKOUT_ABANDONED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.78980845,19082.97271229267
E04801,23563.95,INVOICE_OVERDUE,Bank_A,E42,P001,NETBANKING,ALTERNATE_PAYMENT,0.8094669,19074.23752152622
E00924,24560.17,PAYMENT_FAILED,Bank_A,E42,P007,WALLET,ALTERNATE_PAYMENT,0.7766088,19073.644758867023
E03237,24650.55,PAYMENT_FAILED,Bank_A,E42,P010,UPI,ALTERNATE_PAYMENT,0.7723986,19040.050088399646
E04232,23916.87,SUBSCRIPTION_FAILED,Bank_C,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.7959911,19037.616203311085
E02537,23996.74,PAYMENT_FAILED,Bank_A,E42,P013,CARD,ALTERNATE_PAYMENT,0.79318935,19033.958525696995
