event_id,customer_id,amount,event_type,bank,error_code,product_id,payment_method
E00001,C0597,7577.15,PAYMENT_FAILED,Bank_D,E42,P009,UPI
E00002,C0791,22803.31,CHECKOUT_ABANDONED,Bank_A,E42,P001,NETBANKING
E00003,C0285,15917.19,SUBSCRIPTION_FAILED,Bank_C,E42,P003,NETBANKING
E00004,C0996,12797.68,SUBSCRIPTION_FAILED,Bank_D,E23,P003,WALLET
E00005,C0979,10142.42,CHECKOUT_ABANDONED,Bank_A,E42,P009,CARD
E00006,C0692,10508.69,INVOICE_OVERDUE,Bank_A,E42,P020,CARD
E00007,C0083,7227.04,PAYMENT_FAILED,Bank_A,E42,P017,NETBANKING
E00008,C0073,13340.96,CHECKOUT_ABANDONED,Bank_A,E42,P017,NETBANKING
E00009,C0341,12865.33,CHECKOUT_ABANDONED,Bank_D,E42,P014,WALLET
E00010,C0097,23917.24,CHECKOUT_ABANDONED,Bank_C,E17,P020,NETBANKING
E00011,C0149,14221.19,SUBSCRIPTION_FAILED,Bank_B,E23,P020,NETBANKING
E00012,C0710,2215.51,CHECKOUT_ABANDONED,Bank_A,E42,P019,CARD
E00013,C0502,11924.55,PAYMENT_FAILED,Bank_A,E23,P019,UPI
E00014,C0303,10161.53,CHECKOUT_ABANDONED,Bank_B,E11,P015,NETBANKING
E00015,C0671,13000.47,PAYMENT_FAILED,Bank_A,E17,P014,NETBANKING
E00016,C0663,5199.03,SUBSCRIPTION_FAILED,Bank_B,E42,P013,NETBANKING
E00017,C0438,7318.66,INVOICE_OVERDUE,Bank_C,E42,P018,NETBANKING
E00018,C0185,15550.21,CHECKOUT_ABANDONED,Bank_C,E23,P013,WALLET
E00019,C0369,20237.08,SUBSCRIPTION_FAILED,Bank_C,E42,P011,NETBANKING
E00020,C0861,12849.14,INVOICE_OVERDUE,Bank_D,E23,P007,CARD
E00021,C0311,1964.65,CHECKOUT_ABANDONED,Bank_D,E17,P012,UPI
E00022,C0727,858.92,SUBSCRIPTION_FAILED,Bank_B,E17,P003,WALLET
E00023,C0768,16608.82,INVOICE_OVERDUE,Bank_B,E42,P014,WALLET
E00024,C0271,23831.89,INVOICE_OVERDUE,Bank_B,E42,P013,WALLET
E00025,C0614,17303.62,SUBSCRIPTION_FAILED,Bank_C,E23,P006,WALLET
E00026,C0316,18187.24,SUBSCRIPTION_FAILED,Bank_A,E17,P010,UPI
E00027,C0394,14429.16,INVOICE_OVERDUE,Bank_D,E17,P003,UPI
E00028,C0958,23294.89,INVOICE_OVERDUE,Bank_C,E17,P007,CARD
E00029,C0397,3140.85,INVOICE_OVERDUE,Bank_A,E42,P016,CARD
E00030,C0891,11967.01,CHECKOUT_ABANDONED,Bank_B,E17,P011,UPI
E00031,C0884,10752.97,SUBSCRIPTION_FAILED,Bank_A,E42,P003,CARD
E00032,C0559,24516.64,CHECKOUT_ABANDONED,Bank_C,E17,P006,WALLET
E00033,C0711,8507.28,SUBSCRIPTION_FAILED,Bank_A,E42,P006,UPI
E00034,C0084,21698.16,SUBSCRIPTION_FAILED,Bank_B,E23,P008,UPI
E00035,C0979,7258.4,CHECKOUT_ABANDONED,Bank_C,E42,P001,UPI
E00036,C0947,9171.47,SUBSCRIPTION_FAILED,Bank_C,E42,P019,CARD
E00037,C0939,20309.96,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING
E00038,C0091,19690.66,CHECKOUT_ABANDONED,Bank_B,E23,P013,NETBANKING
E00039,C0727,11199.3,CHECKOUT_ABANDONED,Bank_B,E17,P019,CARD
E00040,C0218,18533.85,PAYMENT_FAILED,Bank_A,E23,P001,UPI
E00041,C0498,17453.17,CHECKOUT_ABANDONED,Bank_D,E17,P009,CARD
E00042,C0775,11400.79,INVOICE_OVERDUE,Bank_C,E11,P011,NETBANKING
E00043,C0062,4876.6,PAYMENT_FAILED,Bank_C,E23,P002,NETBANKING
E00044,C0225,24099.93,INVOICE_OVERDUE,Bank_D,E23,P008,UPI
E00045,C0776,14943.22,CHECKOUT_ABANDONED,Bank_C,E42,P018,NETBANKING
E00046,C0646,10305.15,INVOICE_OVERDUE,Bank_A,E42,P004,WALLET
E00047,C0624,11248.4,PAYMENT_FAILED,Bank_C,E17,P016,UPI
E00048,C0018,5860.75,SUBSCRIPTION_FAILED,Bank_C,E11,P017,UPI
E00049,C0791,19973.05,PAYMENT_FAILED,Bank_D,E23,P017,WALLET
E00050,C0644,16359.15,PAYMENT_FAILED,Bank_D,E42,P012,UPI
E00051,C0612,7562.03,SUBSCRIPTION_FAILED,Bank_C,E23,P002,CARD
E00052,C0798,932.62,CHECKOUT_ABANDONED,Bank_B,E42,P005,WALLET
E00053,C0728,19396.67,PAYMENT_FAILED,Bank_B,E11,P016,WALLET
E00054,C0971,10957.69,SUBSCRIPTION_FAILED,Bank_C,E23,P019,UPI
E00055,C0561,11872.83,PAYMENT_FAILED,Bank_D,E42,P012,UPI
E00056,C0046,3955.76,INVOICE_OVERDUE,Bank_D,E42,P012,CARD
E00057,C0324,4928.86,INVOICE_OVERDUE,Bank_D,E23,P011,UPI
E00058,C0359,19979.64,SUBSCRIPTION_FAILED,Bank_A,E23,P013,WALLET
E00059,C0834,10657.25,CHECKOUT_ABANDONED,Bank_C,E42,P007,UPI
E00060,C0209,5300.96,SUBSCRIPTION_FAILED,Bank_A,E42,P001,NETBANKING
E00061,C0444,7912.85,PAYMENT_FAILED,Bank_A,E42,P011,NETBANKING
E00062,C0637,8435.2,INVOICE_OVERDUE,Bank_D,E17,P013,NETBANKING
E00063,C0250,13637.63,PAYMENT_FAILED,Bank_D,E42,P016,UPI
E00064,C0438,7100.74,INVOICE_OVERDUE,Bank_A,E17,P016,UPI
E00065,C0886,16689.57,INVOICE_OVERDUE,Bank_A,E42,P006,CARD
E00066,C0773,20735.22,CHECKOUT_ABANDONED,Bank_A,E42,P013,UPI
E00067,C0885,17980.25,PAYMENT_FAILED,Bank_A,E23,P016,WALLET
E00068,C0135,10214.41,CHECKOUT_ABANDONED,Bank_C,E42,P012,NETBANKING
E00069,C0874,21742.13,PAYMENT_FAILED,Bank_B,E23,P015,NETBANKING
E00070,C0427,5346.16,CHECKOUT_ABANDONED,Bank_A,E11,P017,CARD
E00071,C0918,13293.55,PAYMENT_FAILED,Bank_B,E11,P013,WALLET
E00072,C0524,19347.41,CHECKOUT_ABANDONED,Bank_C,E23,P008,UPI
E00073,C0807,2614.63,SUBSCRIPTION_FAILED,Bank_A,E42,P015,WALLET
E00074,C0218,2360.99,INVOICE_OVERDUE,Bank_C,E23,P013,WALLET
E00075,C0767,18261.03,INVOICE_OVERDUE,Bank_D,E11,P014,WALLET
E00076,C0343,14148.16,PAYMENT_FAILED,Bank_B,E42,P009,WALLET
E00077,C0473,8175.12,CHECKOUT_ABANDONED,Bank_A,E42,P002,UPI
E00078,C0117,16462.83,SUBSCRIPTION_FAILED,Bank_A,E42,P015,NETBANKING
E00079,C0542,9584.9,INVOICE_OVERDUE,Bank_C,E42,P007,UPI
E00080,C0834,14731.29,CHECKOUT_ABANDONED,Bank_A,E17,P017,UPI
E00081,C0078,12174.44,SUBSCRIPTION_FAILED,Bank_B,E11,P002,NETBANKING
E00082,C0314,6238.45,INVOICE_OVERDUE,Bank_A,E42,P007,CARD
E00083,C0232,4348.41,INVOICE_OVERDUE,Bank_C,E11,P020,NETBANKING
E00084,C0884,18937.85,PAYMENT_FAILED,Bank_D,E42,P008,NETBANKING
E00085,C0603,23359.03,SUBSCRIPTION_FAILED,Bank_D,E23,P008,CARD
E00086,C0681,15368.06,INVOICE_OVERDUE,Bank_A,E42,P012,CARD
E00087,C0117,8269.71,PAYMENT_FAILED,Bank_B,E23,P014,CARD
E00088,C0020,11505.73,SUBSCRIPTION_FAILED,Bank_B,E42,P006,UPI
E00089,C0296,13872.96,CHECKOUT_ABANDONED,Bank_C,E11,P016,WALLET
E00090,C0290,11205.29,PAYMENT_FAILED,Bank_C,E11,P016,NETBANKING
E00091,C0917,23999.41,INVOICE_OVERDUE,Bank_C,E42,P005,CARD
E00092,C0389,14183.61,PAYMENT_FAILED,Bank_A,E42,P013,NETBANKING
E00093,C0753,6498.44,CHECKOUT_ABANDONED,Bank_C,E42,P002,NETBANKING
E00094,C0206,14212.42,PAYMENT_FAILED,Bank_D,E17,P011,CARD
E00095,C0776,5358.03,PAYMENT_FAILED,Bank_A,E42,P014,NETBANKING
E00096,C0132,17740.65,PAYMENT_FAILED,Bank_A,E42,P016,CARD
E00097,C0936,12919.44,SUBSCRIPTION_FAILED,Bank_C,E23,P008,WALLET
E00098,C0789,18408.31,CHECKOUT_ABANDONED,Bank_C,E17,P006,CARD
E00099,C0081,21346.24,PAYMENT_FAILED,Bank_D,E23,P013,CARD
E00100,C0420,5270.04,CHECKOUT_ABANDONED,Bank_D,E42,P016,CARD
E00101,C0882,9156.73,SUBSCRIPTION_FAILED,Bank_C,E17,P006,UPI
E00102,C0722,19006.12,CHECKOUT_ABANDONED,Bank_C,E17,P002,UPI
E00103,C0601,22680.23,SUBSCRIPTION_FAILED,Bank_B,E11,P002,UPI
E00104,C0847,3541.65,PAYMENT_FAILED,Bank_A,E42,P001,NETBANKING
E00105,C0530,20996.68,PAYMENT_FAILED,Bank_D,E17,P019,WALLET
E00106,C0241,4233.06,SUBSCRIPTION_FAILED,Bank_A,E42,P019,NETBANKING
E00107,C0362,1927.73,PAYMENT_FAILED,Bank_C,E23,P003,CARD
E00108,C0276,13528.44,INVOICE_OVERDUE,Bank_A,E42,P016,NETBANKING
E00109,C0479,3348.48,SUBSCRIPTION_FAILED,Bank_B,E11,P017,CARD
