event_id,customer_id,amount,event_type,bank,error_code,product_id,payment_method,intervention,recovered
E00001,C0597,7577.15,PAYMENT_FAILED,Bank_D,E42,P009,UPI,RETRY_PAYMENT,0
E00001,C0597,7577.15,PAYMENT_FAILED,Bank_D,E42,P009,UPI,SEND_REMINDER,1
E00001,C0597,7577.15,PAYMENT_FAILED,Bank_D,E42,P009,UPI,ALTERNATE_PAYMENT,1
E00002,C0791,22803.31,CHECKOUT_ABANDONED,Bank_A,E42,P001,NETBANKING,RETRY_PAYMENT,0
E00002,C0791,22803.31,CHECKOUT_ABANDONED,Bank_A,E42,P001,NETBANKING,SEND_REMINDER,0
E00002,C0791,22803.31,CHECKOUT_ABANDONED,Bank_A,E42,P001,NETBANKING,ALTERNATE_PAYMENT,0
E00003,C0285,15917.19,SUBSCRIPTION_FAILED,Bank_C,E42,P003,NETBANKING,RETRY_PAYMENT,0
E00003,C0285,15917.19,SUBSCRIPTION_FAILED,Bank_C,E42,P003,NETBANKING,SEND_REMINDER,0
E00003,C0285,15917.19,SUBSCRIPTION_FAILED,Bank_C,E42,P003,NETBANKING,ALTERNATE_PAYMENT,0
E00004,C0996,12797.68,SUBSCRIPTION_FAILED,Bank_D,E23,P003,WALLET,RETRY_PAYMENT,1
E00004,C0996,12797.68,SUBSCRIPTION_FAILED,Bank_D,E23,P003,WALLET,SEND_REMINDER,0
E00004,C0996,12797.68,SUBSCRIPTION_FAILED,Bank_D,E23,P003,WALLET,ALTERNATE_PAYMENT,1
E00005,C0979,10142.42,CHECKOUT_ABANDONED,Bank_A,E42,P009,CARD,RETRY_PAYMENT,0
E00005,C0979,10142.42,CHECKOUT_ABANDONED,Bank_A,E42,P009,CARD,SEND_REMINDER,1
E00005,C0979,10142.42,CHECKOUT_ABANDONED,Bank_A,E42,P009,CARD,ALTERNATE_PAYMENT,0
E00006,C0692,10508.69,INVOICE_OVERDUE,Bank_A,E42,P020,CARD,RETRY_PAYMENT,0
E00006,C0692,10508.69,INVOICE_OVERDUE,Bank_A,E42,P020,CARD,SEND_REMINDER,1
E00006,C0692,10508.69,INVOICE_OVERDUE,Bank_A,E42,P020,CARD,ALTERNATE_PAYMENT,0
E00007,C0083,7227.04,PAYMENT_FAILED,Bank_A,E42,P017,NETBANKING,RETRY_PAYMENT,1
E00007,C0083,7227.04,PAYMENT_FAILED,Bank_A,E42,P017,NETBANKING,SEND_REMINDER,1
E00007,C0083,7227.04,PAYMENT_FAILED,Bank_A,E42,P017,NETBANKING,ALTERNATE_PAYMENT,1
E00008,C0073,13340.96,CHECKOUT_ABANDONED,Bank_A,E42,P017,NETBANKING,RETRY_PAYMENT,0
E00008,C0073,13340.96,CHECKOUT_ABANDONED,Bank_A,E42,P017,NETBANKING,SEND_REMINDER,0
E00008,C0073,13340.96,CHECKOUT_ABANDONED,Bank_A,E42,P017,NETBANKING,ALTERNATE_PAYMENT,0
E00009,C0341,12865.33,CHECKOUT_ABANDONED,Bank_D,E42,P014,WALLET,RETRY_PAYMENT,0
E00009,C0341,12865.33,CHECKOUT_ABANDONED,Bank_D,E42,P014,WALLET,SEND_REMINDER,1
E00009,C0341,12865.33,CHECKOUT_ABANDONED,Bank_D,E42,P014,WALLET,ALTERNATE_PAYMENT,1
E00010,C0097,23917.24,CHECKOUT_ABANDONED,Bank_C,E17,P020,NETBANKING,RETRY_PAYMENT,0
E00010,C0097,23917.24,CHECKOUT_ABANDONED,Bank_C,E17,P020,NETBANKING,SEND_REMINDER,1
