event_id,amount,event_type,bank,error_code,product_id,payment_method,intervention,recovery_probability,expected_recovery,priority_score,priority
E00198,24949.39,SUBSCRIPTION_FAILED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.9237727,23047.56518103242,23047.56518103242,HIGH
E01274,24980.58,CHECKOUT_ABANDONED,Bank_A,E42,P017,UPI,ALTERNATE_PAYMENT,0.86489815,21605.65730799079,21605.65730799079,HIGH
E02522,24263.18,SUBSCRIPTION_FAILED,Bank_A,E42,P005,UPI,ALTERNATE_PAYMENT,0.87093717,21131.70529038787,21131.70529038787,HIGH
E03644,24336.9,SUBSCRIPTION_FAILED,Bank_A,E42,P006,WALLET,ALTERNATE_PAYMENT,0.868291,21131.511734211446,21131.511734211446,HIGH
E00729,23973.89,SUBSCRIPTION_FAILED,Bank_A,E42,P002,WALLET,ALTERNATE_PAYMENT,0.8784526,21059.925979805583,21059.925979805583,HIGH
E01272,24824.39,SUBSCRIPTION_FAILED,Bank_A,E42,P005,UPI,ALTERNATE_PAYMENT,0.84462416,20967.2795939672,20967.2795939672,HIGH
E00663,24639.94,SUBSCRIPTION_FAILED,Bank_A,E42,P008,WALLET,ALTERNATE_PAYMENT,0.85089976,20966.118932739497,20966.118932739497,HIGH
E03450,24369.67,SUBSCRIPTION_FAILED,Bank_A,E42,P011,WALLET,ALTERNATE_PAYMENT,0.857954,20908.056470966338,20908.056470966338,HIGH
E03755,24094.55,SUBSCRIPTION_FAILED,Bank_A,E42,P016,UPI,ALTERNATE_PAYMENT,0.8655843,20855.86452974379,20855.86452974379,HIGH
E04172,24371.47,SUBSCRIPTION_FAILED,Bank_A,E42,P002,CARD,ALTERNATE_PAYMENT,0.8485519,20680.457880993486,20680.457880993486,HIGH
E02685,23716.36,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.8648989,20512.254151735306,20512.254151735306,HIGH
E04845,24409.34,SUBSCRIPTION_FAILED,Bank_A,E42,P006,NETBANKING,ALTERNATE_PAYMENT,0.8377738,20449.505524759294,20449.505524759294,HIGH
E01937,24491.92,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.83024096,20334.19529279709,20334.19529279709,HIGH
E02860,24956.98,PAYMENT_FAILED,Bank_B,E23,P007,NETBANKING,RETRY_PAYMENT,0.81134546,20248.73236916304,20248.73236916304,HIGH
E02962,23480.81,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,ALTERNATE_PAYMENT,0.86111027,20219.566639466884,20219.566639466884,HIGH
E04482,22591.01,SUBSCRIPTION_FAILED,Bank_A,E42,P008,WALLET,ALTERNATE_PAYMENT,0.8928816,20171.096527437567,20171.096527437567,HIGH
E01504,22914.02,SUBSCRIPTION_FAILED,Bank_A,E42,P009,UPI,ALTERNATE_PAYMENT,0.8769986,20095.56353699565,20095.56353699565,HIGH
E01501,24993.66,INVOICE_OVERDUE,Bank_B,E23,P007,WALLET,SEND_REMINDER,0.7963163,19902.859496108293,19902.859496108293,HIGH
E04715,23120.22,SUBSCRIPTION_FAILED,Bank_A,E42,P011,CARD,ALTERNATE_PAYMENT,0.86048335,19894.564320641755,19894.564320641755,HIGH
E01794,23984.37,SUBSCRIPTION_FAILED,Bank_A,E42,P018,NETBANKING,ALTERNATE_PAYMENT,0.8293044,19890.343502821324,19890.343502821324,HIGH
E02838,22312.58,SUBSCRIPTION_FAILED,Bank_A,E42,P008,CARD,ALTERNATE_PAYMENT,0.8894623,19846.198551570174,19846.198551570174,HIGH
E01426,23036.84,SUBSCRIPTION_FAILED,Bank_A,E42,P006,WALLET,ALTERNATE_PAYMENT,0.85857016,19778.743369715216,19778.743369715216,HIGH
E04722,23570.25,CHECKOUT_ABANDONED,Bank_A,E42,P011,UPI,ALTERNATE_PAYMENT,0.83527213,19687.573001101613,19687.573001101613,HIGH
E04148,22919.95,SUBSCRIPTION_FAILED,Bank_A,E42,P017,NETBANKING,ALTERNATE_PAYMENT,0.8588677,19685.204852196573,19685.204852196573,HIGH
E01643,22283.42,SUBSCRIPTION_FAILED,Bank_A,E42,P007,UPI,ALTERNATE_PAYMENT,0.88183194,19650.231577318904,19650.231577318904,HIGH
E04395,23056.87,SUBSCRIPTION_FAILED,Bank_A,E42,P019,NETBANKING,ALTERNATE_PAYMENT,0.84842104,19561.933559919,19561.933559919,HIGH
E00307,23215.86,SUBSCRIPTION_FAILED,Bank_A,E42,P019,WALLET,ALTERNATE_PAYMENT,0.8424237,19557.590156235696,19557.590156235696,HIGH
E02078,22437.21,SUBSCRIPTION_FAILED,Bank_A,E42,P004,WALLET,ALTERNATE_PAYMENT,0.8709696,19542.12767353356,19542.12767353356,HIGH
E01956,22659.61,SUBSCRIPTION_FAILED,Bank_A,E42,P015,WALLET,ALTERNATE_PAYMENT,0.8607465,19504.18006404042,19504.18006404042,HIGH
E02874,22845.66,SUBSCRIPTION_FAILED,Bank_A,E42,P014,NETBANKING,ALTERNATE_PAYMENT,0.8503384,19426.54195787072,19426.54195787072,HIGH
E00807,21813.48,SUBSCRIPTION_FAILED,Bank_A,E42,P004,UPI,ALTERNATE_PAYMENT,0.8897241,19407.978332855702,19407.978332855702,HIGH
E02804,22152.08,SUBSCRIPTION_FAILED,Bank_A,E42,P019,UPI,ALTERNATE_PAYMENT,0.8748841,19380.50320682526,19380.50320682526,HIGH
E00173,22416.53,SUBSCRIPTION_FAILED,Bank_A,E42,P017,CARD,ALTERNATE_PAYMENT,0.8644381,19377.70297279656,19377.70297279656,HIGH
E03162,21471.41,SUBSCRIPTION_FAILED,Bank_A,E42,P011,NETBANKING,ALTERNATE_PAYMENT,0.8991091,19305.1406605649,19305.1406605649,HIGH
E03414,24716.21,PAYMENT_FAILED,Bank_A,E42,P016,UPI,ALTERNATE_PAYMENT,0.7800815,19280.658431718348,19280.658431718348,HIGH
