event_id,customer_id,amount,event_type,bank,error_code,product_id,payment_method,hidden_prob_retry_payment,recovered_retry_payment,amount_recovered_retry_payment,hidden_prob_send_reminder,recovered_send_reminder,amount_recovered_send_reminder,hidden_prob_alternate_payment,recovered_alternate_payment,amount_recovered_alternate_payment
E00001,C0072,4994.15,PAYMENT_FAILED,Bank_A,E42,P007,CARD,0.3,False,0.0,0.4,True,4994.15,0.75,True,4994.15
E00002,C0872,8675.86,INVOICE_OVERDUE,Bank_A,E42,P003,CARD,0.10000000000000003,False,0.0,0.55,True,8675.86,0.75,True,8675.86
E00003,C0192,5702.31,CHECKOUT_ABANDONED,Bank_D,E42,P001,WALLET,0.30000000000000004,False,0.0,0.6000000000000001,False,0.0,0.6,True,5702.31
E00004,C0059,7635.11,PAYMENT_FAILED,Bank_A,E42,P010,WALLET,0.3,False,0.0,0.4,True,7635.11,0.75,True,7635.11
E00005,C0958,2719.86,CHECKOUT_ABANDONED,Bank_D,E23,P019,WALLET,0.45,True,2719.86,0.6000000000000001,False,0.0,0.5,True,2719.86
E00006,C0647,21568.54,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING,0.10000000000000003,False,0.0,0.4,True,21568.54,0.9,True,21568.54
E00007,C0777,20305.74,CHECKOUT_ABANDONED,Bank_A,E42,P002,WALLET,0.10000000000000003,True,20305.74,0.6000000000000001,False,0.0,0.75,True,20305.74
E00008,C0943,12631.83,INVOICE_OVERDUE,Bank_D,E23,P003,CARD,0.45,False,0.0,0.55,False,0.0,0.5,False,0.0
E00009,C0390,8136.92,INVOICE_OVERDUE,Bank_A,E42,P010,WALLET,0.10000000000000003,False,0.0,0.55,True,8136.92,0.75,False,0.0
E00010,C0202,11518.98,CHECKOUT_ABANDONED,Bank_C,E17,P004,CARD,0.45,False,0.0,0.6000000000000001,True,11518.98,0.5,False,0.0
E00011,C0702,5301.58,CHECKOUT_ABANDONED,Bank_C,E42,P008,UPI,0.30000000000000004,True,5301.58,0.6000000000000001,True,5301.58,0.6,False,0.0
E00012,C0217,14875.4,PAYMENT_FAILED,Bank_B,E23,P013,UPI,0.65,False,0.0,0.4,False,0.0,0.5,False,0.0
E00013,C0344,24678.73,PAYMENT_FAILED,Bank_A,E11,P001,WALLET,0.65,False,0.0,0.4,False,0.0,0.5,False,0.0
E00014,C0675,17818.0,SUBSCRIPTION_FAILED,Bank_C,E23,P003,UPI,0.45,True,17818.0,0.4,False,0.0,0.65,True,17818.0
E00015,C0135,3338.79,CHECKOUT_ABANDONED,Bank_B,E23,P009,WALLET,0.45,True,3338.79,0.6000000000000001,True,3338.79,0.5,False,0.0
E00016,C0728,8119.07,SUBSCRIPTION_FAILED,Bank_A,E42,P005,NETBANKING,0.10000000000000003,False,0.0,0.4,True,8119.07,0.9,True,8119.07
E00017,C0613,12069.27,SUBSCRIPTION_FAILED,Bank_B,E23,P015,CARD,0.45,True,12069.27,0.4,True,12069.27,0.65,True,12069.27
E00018,C0871,19388.7,SUBSCRIPTION_FAILED,Bank_A,E17,P009,NETBANKING,0.45,False,0.0,0.4,True,19388.7,0.65,True,19388.7
E00019,C0864,5442.12,PAYMENT_FAILED,Bank_B,E42,P007,UPI,0.5,True,5442.12,0.4,False,0.0,0.6,True,5442.12
E00020,C0231,3913.62,CHECKOUT_ABANDONED,Bank_D,E42,P013,NETBANKING,0.30000000000000004,True,3913.62,0.6000000000000001,False,0.0,0.6,True,3913.62
E00021,C0243,15172.2,INVOICE_OVERDUE,Bank_D,E11,P002,CARD,0.45,False,0.0,0.55,False,0.0,0.5,True,15172.2
E00022,C0620,11685.1,CHECKOUT_ABANDONED,Bank_A,E11,P012,WALLET,0.45,True,11685.1,0.6000000000000001,True,11685.1,0.5,True,11685.1
E00023,C0473,3491.15,CHECKOUT_ABANDONED,Bank_A,E42,P007,CARD,0.10000000000000003,False,0.0,0.6000000000000001,False,0.0,0.75,False,0.0
E00024,C0973,512.75,CHECKOUT_ABANDONED,Bank_A,E42,P009,NETBANKING,0.10000000000000003,False,0.0,0.6000000000000001,False,0.0,0.75,True,512.75
E00025,C0225,12378.33,PAYMENT_FAILED,Bank_D,E23,P019,CARD,0.65,True,12378.33,0.4,False,0.0,0.5,False,0.0
E00026,C0472,5859.72,CHECKOUT_ABANDONED,Bank_C,E23,P009,WALLET,0.45,False,0.0,0.6000000000000001,True,5859.72,0.5,True,5859.72
E00027,C0807,6548.46,INVOICE_OVERDUE,Bank_A,E17,P002,NETBANKING,0.45,True,6548.46,0.55,True,6548.46,0.5,False,0.0
E00028,C0002,7036.13,PAYMENT_FAILED,Bank_A,E42,P002,WALLET,0.3,False,0.0,0.4,True,7036.13,0.75,False,0.0
E00029,C0638,16041.61,PAYMENT_FAILED,Bank_A,E42,P002,UPI,0.3,False,0.0,0.4,False,0.0,0.75,True,16041.61
E00030,C0439,15021.07,INVOICE_OVERDUE,Bank_D,E17,P011,WALLET,0.45,True,15021.07,0.55,True,15021.07,0.5,False,0.0
E00031,C0610,12022.37,INVOICE_OVERDUE,Bank_C,E17,P006,CARD,0.45,False,0.0,0.55,True,12022.37,0.5,True,12022.37
E00032,C0187,4192.58,PAYMENT_FAILED,Bank_A,E42,P006,WALLET,0.3,True,4192.58,0.4,False,0.0,0.75,False,0.0
E00033,C0346,5895.91,SUBSCRIPTION_FAILED,Bank_D,E42,P003,NETBANKING,0.30000000000000004,True,5895.91,0.4,False,0.0,0.75,False,0.0
E00034,C0936,23542.82,INVOICE_OVERDUE,Bank_D,E23,P007,CARD,0.45,False,0.0,0.55,False,0.0,0.5,False,0.0
E00035,C0151,3280.1,PAYMENT_FAILED,Bank_C,E42,P010,NETBANKING,0.5,False,0.0,0.4,True,3280.1,0.6,False,0.0
E00036,C0572,14102.42,INVOICE_OVERDUE,Bank_D,E17,P017,CARD,0.45,False,0.0,0.55,True,14102.42,0.5,True,14102.42
E00037,C0009,22560.24,PAYMENT_FAILED,Bank_B,E42,P009,NETBANKING,0.5,True,22560.24,0.4,False,0.0,0.6,False,0.0
E00038,C0120,22233.62,INVOICE_OVERDUE,Bank_D,E23,P001,WALLET,0.45,True,22233.62,0.55,False,0.0,0.5,True,22233.62
E00039,C0852,22514.58,INVOICE_OVERDUE,Bank_A,E42,P003,WALLET,0.10000000000000003,False,0.0,0.55,False,0.0,0.75,True,22514.58
E00040,C0878,7456.06,PAYMENT_FAILED,Bank_C,E11,P018,CARD,0.65,True,7456.06,0.4,False,0.0,0.5,True,7456.06
E00041,C0580,4810.17,PAYMENT_FAILED,Bank_D,E11,P001,CARD,0.65,True,4810.17,0.4,False,0.0,0.5,False,0.0
E00042,C0195,18732.18,INVOICE_OVERDUE,Bank_D,E42,P017,WALLET,0.30000000000000004,False,0.0,0.55,False,0.0,0.6,True,18732.18
E00043,C0022,16090.15,SUBSCRIPTION_FAILED,Bank_D,E23,P014,CARD,0.45,True,16090.15,0.4,True,16090.15,0.65,True,16090.15
E00044,C0027,22699.42,CHECKOUT_ABANDONED,Bank_A,E23,P002,UPI,0.45,False,0.0,0.6000000000000001,False,0.0,0.5,False,0.0
E00045,C0829,21672.11,INVOICE_OVERDUE,Bank_D,E23,P016,NETBANKING,0.45,True,21672.11,0.55,False,0.0,0.5,False,0.0
E00046,C0220,4839.21,INVOICE_OVERDUE,Bank_D,E11,P014,UPI,0.45,False,0.0,0.55,False,0.0,0.5,False,0.0
E00047,C0497,23243.8,PAYMENT_FAILED,Bank_D,E11,P014,UPI,0.65,True,23243.8,0.4,False,0.0,0.5,True,23243.8
E00048,C0981,7714.0,INVOICE_OVERDUE,Bank_D,E11,P001,WALLET,0.45,False,0.0,0.55,True,7714.0,0.5,True,7714.0
E00049,C0570,23435.79,CHECKOUT_ABANDONED,Bank_A,E42,P003,WALLET,0.10000000000000003,False,0.0,0.6000000000000001,True,23435.79,0.75,False,0.0
E00050,C0962,24756.32,SUBSCRIPTION_FAILED,Bank_B,E42,P010,CARD,0.30000000000000004,True,24756.32,0.4,False,0.0,0.75,False,0.0
E00051,C0176,17710.86,PAYMENT_FAILED,Bank_D,E11,P007,UPI,0.65,False,0.0,0.4,True,17710.86,0.5,False,0.0
E00052,C0525,21743.27,CHECKOUT_ABANDONED,Bank_B,E23,P007,UPI,0.45,False,0.0,0.6000000000000001,False,0.0,0.5,True,21743.27
E00053,C0400,17698.19,INVOICE_OVERDUE,Bank_D,E11,P014,WALLET,0.45,False,0.0,0.55,True,17698.19,0.5,False,0.0
E00054,C0727,2802.56,CHECKOUT_ABANDONED,Bank_A,E42,P019,UPI,0.10000000000000003,False,0.0,0.6000000000000001,True,2802.56,0.75,True,2802.56
E00055,C0342,14975.41,CHECKOUT_ABANDONED,Bank_A,E42,P017,WALLET,0.10000000000000003,False,0.0,0.6000000000000001,True,14975.41,0.75,True,14975.41
E00056,C0993,3612.98,SUBSCRIPTION_FAILED,Bank_C,E17,P008,UPI,0.45,False,0.0,0.4,False,0.0,0.65,True,3612.98
E00057,C0877,2591.01,SUBSCRIPTION_FAILED,Bank_D,E11,P020,CARD,0.45,True,2591.01,0.4,False,0.0,0.65,True,2591.01
E00058,C0370,3752.26,INVOICE_OVERDUE,Bank_A,E42,P010,CARD,0.10000000000000003,False,0.0,0.55,True,3752.26,0.75,False,0.0
E00059,C0951,11254.8,SUBSCRIPTION_FAILED,Bank_D,E23,P005,CARD,0.45,True,11254.8,0.4,False,0.0,0.65,True,11254.8
E00060,C0641,17368.25,PAYMENT_FAILED,Bank_C,E23,P001,NETBANKING,0.65,True,17368.25,0.4,True,17368.25,0.5,True,17368.25
E00061,C0237,4980.22,INVOICE_OVERDUE,Bank_B,E17,P001,WALLET,0.45,True,4980.22,0.55,False,0.0,0.5,True,4980.22
E00062,C0247,15487.16,PAYMENT_FAILED,Bank_D,E23,P003,WALLET,0.65,True,15487.16,0.4,False,0.0,0.5,True,15487.16
E00063,C0974,852.64,CHECKOUT_ABANDONED,Bank_A,E42,P005,NETBANKING,0.10000000000000003,False,0.0,0.6000000000000001,True,852.64,0.75,True,852.64
E00064,C0912,4795.59,INVOICE_OVERDUE,Bank_B,E17,P016,UPI,0.45,True,4795.59,0.55,True,4795.59,0.5,True,4795.59
E00065,C0762,16419.46,CHECKOUT_ABANDONED,Bank_A,E17,P010,CARD,0.45,True,16419.46,0.6000000000000001,False,0.0,0.5,True,16419.46
E00066,C0659,874.96,SUBSCRIPTION_FAILED,Bank_B,E42,P001,WALLET,0.30000000000000004,False,0.0,0.4,True,874.96,0.75,True,874.96
