event_id,customer_id,amount,event_type,bank,error_code,product_id,payment_method
E00001,C0072,4994.15,PAYMENT_FAILED,Bank_A,E42,P007,CARD
E00002,C0872,8675.86,INVOICE_OVERDUE,Bank_A,E42,P003,CARD
E00003,C0192,5702.31,CHECKOUT_ABANDONED,Bank_D,E42,P001,WALLET
E00004,C0059,7635.11,PAYMENT_FAILED,Bank_A,E42,P010,WALLET
E00005,C0958,2719.86,CHECKOUT_ABANDONED,Bank_D,E23,P019,WALLET
E00006,C0647,21568.54,SUBSCRIPTION_FAILED,Bank_A,E42,P009,NETBANKING
E00007,C0777,20305.74,CHECKOUT_ABANDONED,Bank_A,E42,P002,WALLET
E00008,C0943,12631.83,INVOICE_OVERDUE,Bank_D,E23,P003,CARD
E00009,C0390,8136.92,INVOICE_OVERDUE,Bank_A,E42,P010,WALLET
E00010,C0202,11518.98,CHECKOUT_ABANDONED,Bank_C,E17,P004,CARD
E00011,C0702,5301.58,CHECKOUT_ABANDONED,Bank_C,E42,P008,UPI
E00012,C0217,14875.4,PAYMENT_FAILED,Bank_B,E23,P013,UPI
E00013,C0344,24678.73,PAYMENT_FAILED,Bank_A,E11,P001,WALLET
E00014,C0675,17818.0,SUBSCRIPTION_FAILED,Bank_C,E23,P003,UPI
E00015,C0135,3338.79,CHECKOUT_ABANDONED,Bank_B,E23,P009,WALLET
E00016,C0728,8119.07,SUBSCRIPTION_FAILED,Bank_A,E42,P005,NETBANKING
E00017,C0613,12069.27,SUBSCRIPTION_FAILED,Bank_B,E23,P015,CARD
E00018,C0871,19388.7,SUBSCRIPTION_FAILED,Bank_A,E17,P009,NETBANKING
E00019,C0864,5442.12,PAYMENT_FAILED,Bank_B,E42,P007,UPI
E00020,C0231,3913.62,CHECKOUT_ABANDONED,Bank_D,E42,P013,NETBANKING
E00021,C0243,15172.2,INVOICE_OVERDUE,Bank_D,E11,P002,CARD
E00022,C0620,11685.1,CHECKOUT_ABANDONED,Bank_A,E11,P012,WALLET
E00023,C0473,3491.15,CHECKOUT_ABANDONED,Bank_A,E42,P007,CARD
E00024,C0973,512.75,CHECKOUT_ABANDONED,Bank_A,E42,P009,NETBANKING
E00025,C0225,12378.33,PAYMENT_FAILED,Bank_D,E23,P019,CARD
E00026,C0472,5859.72,CHECKOUT_ABANDONED,Bank_C,E23,P009,WALLET
E00027,C0807,6548.46,INVOICE_OVERDUE,Bank_A,E17,P002,NETBANKING
E00028,C0002,7036.13,PAYMENT_FAILED,Bank_A,E42,P002,WALLET
E00029,C0638,16041.61,PAYMENT_FAILED,Bank_A,E42,P002,UPI
E00030,C0439,15021.07,INVOICE_OVERDUE,Bank_D,E17,P011,WALLET
E00031,C0610,12022.37,INVOICE_OVERDUE,Bank_C,E17,P006,CARD
E00032,C0187,4192.58,PAYMENT_FAILED,Bank_A,E42,P006,WALLET
E00033,C0346,5895.91,SUBSCRIPTION_FAILED,Bank_D,E42,P003,NETBANKING
E00034,C0936,23542.82,INVOICE_OVERDUE,Bank_D,E23,P007,CARD
E00035,C0151,3280.1,PAYMENT_FAILED,Bank_C,E42,P010,NETBANKING
E00036,C0572,14102.42,INVOICE_OVERDUE,Bank_D,E17,P017,CARD
E00037,C0009,22560.24,PAYMENT_FAILED,Bank_B,E42,P009,NETBANKING
E00038,C0120,22233.62,INVOICE_OVERDUE,Bank_D,E23,P001,WALLET
E00039,C0852,22514.58,INVOICE_OVERDUE,Bank_A,E42,P003,WALLET
E00040,C0878,7456.06,PAYMENT_FAILED,Bank_C,E11,P018,CARD
E00041,C0580,4810.17,PAYMENT_FAILED,Bank_D,E11,P001,CARD
E00042,C0195,18732.18,INVOICE_OVERDUE,Bank_D,E42,P017,WALLET
E00043,C0022,16090.15,SUBSCRIPTION_FAILED,Bank_D,E23,P014,CARD
E00044,C0027,22699.42,CHECKOUT_ABANDONED,Bank_A,E23,P002,UPI
E00045,C0829,21672.11,INVOICE_OVERDUE,Bank_D,E23,P016,NETBANKING
E00046,C0220,4839.21,INVOICE_OVERDUE,Bank_D,E11,P014,UPI
E00047,C0497,23243.8,PAYMENT_FAILED,Bank_D,E11,P014,UPI
E00048,C0981,7714.0,INVOICE_OVERDUE,Bank_D,E11,P001,WALLET
E00049,C0570,23435.79,CHECKOUT_ABANDONED,Bank_A,E42,P003,WALLET
E00050,C0962,24756.32,SUBSCRIPTION_FAILED,Bank_B,E42,P010,CARD
E00051,C0176,17710.86,PAYMENT_FAILED,Bank_D,E11,P007,UPI
E00052,C0525,21743.27,CHECKOUT_ABANDONED,Bank_B,E23,P007,UPI
E00053,C0400,17698.19,INVOICE_OVERDUE,Bank_D,E11,P014,WALLET
E00054,C0727,2802.56,CHECKOUT_ABANDONED,Bank_A,E42,P019,UPI
E00055,C0342,14975.41,CHECKOUT_ABANDONED,Bank_A,E42,P017,WALLET
E00056,C0993,3612.98,SUBSCRIPTION_FAILED,Bank_C,E17,P008,UPI
E00057,C0877,2591.01,SUBSCRIPTION_FAILED,Bank_D,E11,P020,CARD
E00058,C0370,3752.26,INVOICE_OVERDUE,Bank_A,E42,P010,CARD
